대외활동명,주최,주관,접수기간,분야,응모대상,혜택,조회수
성동청소년문화의집 MZ마음상담소 1:1 무료 개인상담 참여자 모집,성동청소년문화의집,성동청소년문화의집,24.01.15 ~ 24.12.31,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 주부 및 영유아, 기타 (만19세~39세 청년)",무료 심리상담 및 심리검사,0
대학생운영위원회 IMT 19기 모집,시립망우청소년센터,시립망우청소년센터,24.02.03 ~ 24.06.30,서포터즈·기자단·마케터,"대학생, 대학원생","수료증, 봉사시간(교육, 재능기부) 지급",0
달꿈 ‘2024 대학생멘토단’ 모집,(주)달꿈,(주)달꿈,24.01.01 ~ 24.12.31,서포터즈·기자단·마케터,"대학생, 대학원생",소정의 강의료 지급,0
2024년 파주시꿈드림 검정고시 학습 멘토 모집,파주시꿈드림,파주시꿈드림,24.02.08 ~ 24.10.31,봉사활동,"일반인, 대학생, 대학원생","활동증 발급, 우수멘토 표창, 봉사시간 또는 소정의 활동비 지급",0
김근태기념도서관 어린이·청소년 독서스크랩동아리 <북Book띠부띠부> 모집,김근태기념도서관,도봉구,24.12.31 ~ 24.12.31,봉사활동,"초등학생, 중학생","1365 자원봉사활동 실적 및 확인서 발급, 청소년 독서동아리 활동 확인서 발급",0
네스탁 Nehstock '네스탁 서포터즈 1기' 모집,네스탁 (Nehstock),네스탁 (Nehstock),24.02.01 ~ 24.12.31,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","활동비(현금전환성 포인트로 우선 지급), 수료증, 우수활동자 시상",0
2024년 광진구학교밖청소년지원센터 검정고시 멘토 모집,광진구학교밖청소년지원센터,광진구학교밖청소년지원센터,24.01.01 ~ 24.12.31,봉사활동,"일반인, 대학생, 대학원생",소정의 활동비 또는 봉사시간 중 선택하여 지급,0
2024년도 청년공감 에디터 모집,청년공감,청년공감,24.02.22 ~ 24.06.30,서포터즈·기자단·마케터,"대학생, 대학원생, 고등학생, 기타 (학교밖청소년)","활동비 지급, 사원증 발급, 명함 지급, 자원봉사시간 지급, 경력증명서 발급, 추천서 제공",0
KISIA 2024년도 ICT융합산업보안 인력양성사업 교육생 모집,과학기술정보통신부,한국정보보호산업협회,24.02.21 ~ 24.11.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생","중식 지원 및 다과 제공, 교육비 및 교재비 등 전액 무료 교육, 교육과정별 수료증 발급",0
시립창동청소년센터 2024년 'CD문화봉사단' 10기 신규단원 모집,시립창동청소년센터,시립창동청소년센터,24.02.18 ~ 24.12.31,봉사활동,"대학생, 중학생, 고등학생","봉사시간 발급, 센터 내 연습실 무료 대관, 청소년 전용공간 무료 이용 外",0
인터넷언론사 메디먼트뉴스(연예뉴스 파트) 2기 기자단 모집(추가모집),메디먼트뉴스,메디먼트뉴스,24.02.23 ~ 24.12.31,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",2기 활동기간을 채워 최소 활동 조건(주 2~3건)을 충족할 시 수료증 발급 外,0
청년봉사단 나눔누리 14기 모집,충청북도종합자원봉사센터,충청북도종합자원봉사센터,24.02.26 ~ 24.10.31,봉사활동,"일반인, 대학생, 대학원생","자원봉사 시간 인정, 우수 자원봉사자 선정 및 표창 外",0
2024년 경기도 청년 생명사랑 모니터단 Gol(Gyeonggi On-Line)-keeper 6기 상시 모집,경기도자살예방센터,경기도자살예방센터,24.03.01 ~ 24.11.30,봉사활동,"일반인, 대학생, 대학원생, 기타 (청년(만19세 이상~ 34세 이하))","봉사활동 시간, 생명지킴이(게이트키퍼)교육 및 수료증 발급, 활동 우수자 선정 및 시상",0
TVCF 대학생 광고 평가단 2024년 상반기 모집,(주)애드크림,TVCF.CO.KR,24.02.29 ~ 24.06.30,체험단·모니터링·인턴십,"대학생, 대학원생",1개월 활동 완료 시 프리미엄 서비스 1개월권 지급,0
2024 발룬치어링 참여 봉사 동아리 모집,KT&G복지재단,KT&G 상상마당 부산,24.03.05 ~ 24.09.30,봉사활동,대학생,"숙박지원, F&B 지원, 문화예술 체험 프로그램 등 단체 워크숍 지원 外",0
2024 으뜸중기제품 - 대한민국 으뜸기업 혁신제품 공모,"중소벤처기업부, 한국경제신문",한국경제신문,24.03.05 ~ 24.10.31,기타(캠프/강연 등),기타 (중소기업),‘한국경제신문 지면 기사화’를 통한 기업 및 제품 홍보 지원 (선정기업 대상 CEO인터뷰 및 제품소개 등) 外,0
대구광역시청소년수련원 청소년방과후아카데미 참가 청소년 모집,여성가족부 / 대구광역시,여성가족부 / 대구광역시,24.01.01 ~ 24.12.31,기타(캠프/강연 등),초등학생,전액무료,0
(사)프렌드림 2024년 하계 및 연중수시 해외봉사 지원자 모집,사단법인 프렌드림,사단법인 프렌드림,24.03.15 ~ 24.09.30,봉사활동,제한없음,봉사활동 후 해당국가 교육청 발행 봉사인증서 발급,0
캄보디아 해비타트 희망의 집짓기 2024년 여름방학 개인건축 교육 봉사단 지원자 모집,사단법인 프렌드림,사단법인 프렌드림,24.03.15 ~ 24.08.14,봉사활동,제한없음,"봉사활동 후, 캄보디아 교육청 발행 봉사인증서 발급",0
아이쿠스 24년 여름 유럽 드리머즈 모집공고,아이쿠스,아이쿠스,24.03.01 ~ 24.06.30,기타(캠프/강연 등),"일반인, 대학생, 대학원생",공고문 참조,0
2024 부마민주항쟁 창작곡 공모,(재)부마민주항쟁기념재단,(재)부마민주항쟁기념재단,24.07.10 ~ 24.07.19,"기타(예체능, e스포츠 등)",제한없음,대상(1팀) 상금 500만원 및 상패 外,0
2024 뉴딜일자리사업 XR 콘텐츠 개발자 과정 모집,한국 실감 메타버스 콘텐츠 협회,한국 실감 메타버스 콘텐츠 협회,24.05.02 ~ 24.07.24,기타(캠프/강연 등),기타 (- 만 18세~만 39세이하의 서울시 시민 미취업자(고용보험 미가입자)),www.ndkovaca.co.kr,0
"종로여성인력개발센터, 고용노동부 국민취업지원제도 참여자 모집",고용노동부,종로여성인력개발센터,24.01.01 ~ 24.12.31,기타(캠프/강연 등),기타,"구직촉진수당, 취업지원수당, 취업지원서비스 등",0
2024년 2분기 미디어유스 기자단 모집,미디어유스,미디어유스,24.04.01 ~ 24.06.30,서포터즈·기자단·마케터,제한없음,"위촉장 & 기자증 발급, 활동증명서 발급 (7개월 후 희망자 요청시) 外",0
2024 클래스병원 로고송 공모전,클래스병원,클래스병원,24.04.01 ~ 24.06.30,"기타(예체능, e스포츠 등)",제한없음,1등 150만원,0
예술숲 국악실내악 작품공모,예술숲,예술숲,24.04.02 ~ 24.07.31,"기타(예체능, e스포츠 등)",제한없음,"작품료 1,000,000원 지급 外",0
아마존웹서비스 전문가 양성 모집 중 (AWS클라우드 활용 자바 풀스택 개발자),더조은컴퓨터아카데미 신촌점,더조은컴퓨터아카데미 신촌점,24.05.30 ~ 24.06.19,기타(캠프/강연 등),기타,교육훈련비 100% 전액을 정부에서 지원 (국민내일배움카드 발급 필수) 外,0
2024 국비지원 미국인턴십 연수과정,산업인력공단,ICN Group,24.04.04 ~ 24.06.27,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",교육비 국비지원&지원금혜택,0
CRCC Asia Summer Buddy 모집,CRCC Asia,CRCC Asia,24.04.12 ~ 24.12.31,서포터즈·기자단·마케터,"대학생, 대학원생","수료증 및 인증서 발급, CRCC Asia: CareerBridge 이용 권한 부여 外",0
아이누리 자연스럽게 먹자! 공모전,"CJ프레시웨이,한국어린이집총연합회","CJ프레시웨이,한국어린이집총연합회",24.04.15 ~ 24.07.01,"기타(예체능, e스포츠 등)",기타 (전국 어린이집),대상(1) 보건복지부장관상(1작품) / 상금 5백만원 外,0
아이누리 자연스럽게 먹자! 공모전,"CJ프레시웨이,자연드림","CJ프레시웨이,자연드림",24.04.15 ~ 24.06.14,"기타(예체능, e스포츠 등)","주부 및 영유아, 기타 (미취학 아동 누구나)",대상(1) 상금1백만원/상장/상품출시 外,0
제10회 광주시민연극제 참가극단 모집,"광주광역시 서구, 광주광역시서구문화원","광주광역시 서구, 광주광역시서구문화원",24.04.03 ~ 24.07.03,"기타(예체능, e스포츠 등)",제한없음,소정의 공연비,0
2024 미래내일일경험 인턴십 참여자 모집,고용노동부,한국직업개발원,24.04.16 ~ 24.12.31,서포터즈·기자단·마케터,"일반인, 기타 (만 15세 ~ 34세 이하 미취업 청년 누구나!)",인턴십 참여수당 350만원 지급!,0
2024 경산 Again대학가요제 행사,영남일보,영남일보,24.04.22 ~ 24.07.31,"기타(예체능, e스포츠 등)",대학생,"대상 : 1팀(명) 1,000만원 外",0
호텔 이제 안다즈! 부산 1기,호텔 HDC,한국 능률 협회,24.04.22 ~ 24.06.14,기타(캠프/강연 등),"일반인, 대학생, 대학원생",우수 선발팀 포상 및 표창 수여/수료자 중 입사지원시 채용 인센티브 부여,0
2024 제18회 우리동요콩쿠르,한국동요작곡가협회,한국동요작곡가협회,24.05.20 ~ 24.07.05,"기타(예체능, e스포츠 등)","초등학생, 기타 (유치원생~초등학생)","부문별 대상, 금상, 은상, 동상, 장려상",0
2024 청소년 크리에이티브 캠프,"부산광역시교육청, (사)부산국제마케팅광고제조직위원회","부산광역시교육청, (사)부산국제마케팅광고제조직위원회",24.04.23 ~ 24.06.17,기타(캠프/강연 등),고등학생,"최우수상 1팀, 우수상 3팀, 크리에이티브상 4팀",0
천사무료급식소 대구지소 자원봉사자 모집,사단법인 한국나눔연맹,전국천사료급식소,24.04.24 ~ 24.07.31,봉사활동,"일반인, 대학생, 대학원생, 고등학생",본 연맹은 자원봉사 인증기관으로 자원봉사자 전원 봉사실적 반영,0
방축도 플로깅 참가자 모집,국제청년센터,국제청년센터,24.04.26 ~ 24.07.24,봉사활동,제한없음,봉사시간 제공 外,0
더 컬쳐타임즈 기자모집,더 컬쳐타임즈,더 컬쳐타임즈,24.04.26 ~ 24.12.31,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",기자 위촉증 및 활동 증명서 제공 外,0
2024 삼각산금암미술관 공예 전시 공모전 ECC 공고,"은평구, 은평역사한옥박물관","은평구, 은평역사한옥박물관",24.07.10 ~ 24.07.16,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생",공고문 [선정팀 지원 내역] 참조,0
"풀피리 세계로, 오라! 대학생 풀피리 동아리 부원 모집",(사)한국풀피리협회,(사)한국풀피리협회,24.05.01 ~ 24.06.30,기타(캠프/강연 등),대학생,"풀피리 강사 무료 지원, 풀피리 수업 관련 제반 사항 지원 外",0
2024년 제2회 대전부르스 창작가요제,대전광역시,대전정보문화산업진흥원,24.04.16 ~ 24.06.28,"기타(예체능, e스포츠 등)",제한없음,"대상(1팀) 5,000,000원 外",0
전Z전능 브랜드 마케터 양성과정,서울경제진흥원,코멘토,24.04.24 ~ 24.06.12,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타 ((만 15세 이상 서울시민))",무료 교육 + 식비 지원,0
8주만에 데이터 분석 스펙 완성하고 취업까지!,서울특별시,SBA 서울경제진흥원,24.04.26 ~ 24.06.11,기타(캠프/강연 등),제한없음,"현직자와 함께 실무교육 및 현장실습, 점심식대 일부지원 外",0
